capacity_gw,hour,pv_baseline_mw,load_baseline_mw,hotdeg_baseline
40,0,0.0,28537.437466105694,1.7195381300813255
40,1,0.0,27324.5234417561,1.505279674796768
40,2,0.0,26355.029674796748,1.3298919512195333
40,3,0.0,25605.08102977236,1.337525772357745
40,4,0.0,25092.19349594309,1.2127504878049005
40,5,0.0,24687.331978308943,1.0835987804878289
40,6,527.9222235826862,24844.30286482114,1.178169105691082
40,7,4146.598526281763,26060.279504203252,2.6104555284553084
40,8,9234.5786839813,29694.985350495936,3.7973414634146563
40,9,14072.122665674735,31696.920254512195,4.745165365853679
40,10,17916.300529276006,32606.611217195124,5.474681869918721
40,11,20150.419851178547,33598.28962761789,5.862814146341486
40,12,20730.518229820922,33021.633358666666,5.979642520325227
40,13,19699.437194886712,34186.75752665853,5.833536991869943
40,14,17681.682248540677,34322.263428178856,5.599548861788642
40,15,15156.81892817423,33981.63400271545,5.399819430894333
40,16,11617.377030048609,33603.68541866667,5.094831463414656
40,17,7819.5975985991345,32712.304470650404,4.653175284552868
40,18,3781.3094818621785,32654.288642902437,4.0650451219512425
40,19,585.9237297273016,33005.72047890244,3.4103596747967737
40,20,0.00011537601583131731,32619.360973471546,2.9070673170731927
40,21,167.28240847011688,31968.92566496748,2.536592845528479
40,22,0.0,31100.162269707318,2.248118536585389
40,23,0.0,30075.649445349594,1.9727283739837622
60,0,0.0,28537.437466105694,1.7195381300813255
60,1,0.0,27324.5234417561,1.505279674796768
60,2,0.0,26355.029674796748,1.3298919512195333
60,3,0.0,25605.08102977236,1.337525772357745
60,4,0.0,25092.19349594309,1.2127504878049005
60,5,0.0,24687.331978308943,1.0835987804878289
60,6,791.8833353740292,24844.30286482114,1.178169105691082
60,7,6219.897789422645,26060.279504203252,2.6104555284553084
60,8,13851.868025971951,29694.985350495936,3.7973414634146563
60,9,21108.1839985121,31696.920254512195,4.745165365853679
60,10,26874.450793914006,32606.611217195124,5.474681869918721
60,11,30225.629776767822,33598.28962761789,5.862814146341486
60,12,31095.777344731385,33021.633358666666,5.979642520325227
60,13,29549.15579233007,34186.75752665853,5.833536991869943
60,14,26522.523372811014,34322.263428178856,5.599548861788642
60,15,22735.228392261346,33981.63400271545,5.399819430894333
60,16,17426.06554507291,33603.68541866667,5.094831463414656
60,17,11729.396397898703,32712.304470650404,4.653175284552868
60,18,5671.964222793268,32654.288642902437,4.0650451219512425
60,19,878.8855945909523,33005.72047890244,3.4103596747967737
60,20,0.00017306402374697597,32619.360973471546,2.9070673170731927
60,21,250.92361270517526,31968.92566496748,2.536592845528479
60,22,0.0,31100.162269707318,2.248118536585389
60,23,0.0,30075.649445349594,1.9727283739837622
80,0,0.0,28537.437466105694,1.7195381300813255
80,1,0.0,27324.5234417561,1.505279674796768
80,2,0.0,26355.029674796748,1.3298919512195333
80,3,0.0,25605.08102977236,1.337525772357745
80,4,0.0,25092.19349594309,1.2127504878049005
80,5,0.0,24687.331978308943,1.0835987804878289
80,6,1055.8444471653725,24844.30286482114,1.178169105691082
80,7,8293.197052563526,26060.279504203252,2.6104555284553084
80,8,18469.1573679626,29694.985350495936,3.7973414634146563
80,9,28144.24533134947,31696.920254512195,4.745165365853679
80,10,35832.60105855201,32606.611217195124,5.474681869918721
80,11,40300.839702357094,33598.28962761789,5.862814146341486
80,12,41461.036459641844,33021.633358666666,5.979642520325227
80,13,39398.874389773424,34186.75752665853,5.833536991869943
80,14,35363.364497081355,34322.263428178856,5.599548861788642
80,15,30313.63785634846,33981.63400271545,5.399819430894333
80,16,23234.754060097217,33603.68541866667,5.094831463414656
80,17,15639.195197198269,32712.304470650404,4.653175284552868
80,18,7562.618963724357,32654.288642902437,4.0650451219512425
80,19,1171.8474594546033,33005.72047890244,3.4103596747967737
80,20,0.00023075203166263462,32619.360973471546,2.9070673170731927
80,21,334.56481694023375,31968.92566496748,2.536592845528479
80,22,0.0,31100.162269707318,2.248118536585389
80,23,0.0,30075.649445349594,1.9727283739837622
