capacity_gw,pooled_p50_mw,july_p99_p50_mw,pooled_p75_mw,july_p99_p75_mw,pooled_p90_mw,july_p99_p90_mw,pooled_p95_mw,july_p99_p95_mw,pooled_p99_mw,july_p99_p99_mw,pooled_mean_mw,july_p99_mean_mw
40,30591.069470135328,33456.843328128074,34966.495356744344,37825.27110622377,37710.426110356144,40758.11890126608,38864.42840201685,41947.188830196705,40957.22355435119,43962.371676828356,30600.617048968234,33495.19733503223
60,30497.67748506579,34690.31755372004,34823.470717414515,39075.710831333425,37547.38668660418,42348.69262106162,38696.08149283647,43863.52407846632,41284.20166911112,47415.1308202572,30501.033479737496,34732.72365768793
80,30491.67745238175,35946.16306182531,34814.883505181526,40574.437373775785,37536.895230522525,44239.87283413179,38722.58415344205,46204.26608143404,42568.302983270005,52291.39013863894,30518.82212339876,36124.9589544424
