,count,mean,min,25%,50%,75%,max,std
datetime,3696,2020-07-18 08:41:41.298701,2018-07-01 00:00:00,2019-07-08 11:45:00,2020-07-16 23:30:00,2021-07-24 11:15:00,2022-07-31 23:00:00,
t2m_c,3696.0,24.46467658279223,20.25475,22.78121000000003,24.186105000000026,26.06280500000001,29.41622000000001,1.9337607528085432
ssrd,3696.0,234.42590803082612,0.0,0.0,32.806875,469.02311499999996,6220.1177,300.85059680302413
load_mw,3696.0,30873.450683739447,22085.483333,27340.8172915,31033.75375,34185.406292,40441.4585,4090.142634073051
hotdeg,3696.0,3.4658917721861697,0.0,1.78121000000003,3.186105000000026,5.0628050000000115,8.41622000000001,1.93144980644081
hour,3696.0,11.5,0.0,5.75,11.5,17.25,23.0,6.9231231854855295
weekday,3696.0,3.0194805194805197,0.0,1.0,3.0,5.0,6.0,1.9952987643520976
trend,3696.0,0.5,0.0,0.25,0.5,0.75,1.0,0.2887923207761714
