,7/1/2018,7/2/2018,7/3/2018,7/4/2018,7/5/2018,7/6/2018,7/7/2018,7/8/2018,7/9/2018,7/10/2018,7/11/2018,7/12/2018,7/13/2018,7/14/2018,7/15/2018,7/16/2018,7/17/2018,7/18/2018,7/19/2018,7/20/2018,7/21/2018,7/22/2018,7/23/2018,7/24/2018,7/25/2018,7/26/2018,7/27/2018,7/28/2018,7/29/2018,7/30/2018,7/31/2018
00:00,26241.916667,25574.150000,26831.333333,27267.300000,27333.333333,27059.066667,27795.333333,25617.200000,25565.550000,27985.283333,26401.716667,26876.416667,27944.316667,28150.491667,26924.733333,26323.483333,28665.183333,29451.533333,29284.250000,29141.933333,28709.716667,27014.833333,25782.183333,28323.850000,27954.366667,28434.783333,29207.966667,28173.083333,27646.100000,27447.283333,29730.650000
01:00,25225.433333,24452.500000,25647.900000,26072.850000,26084.416667,25873.416667,26548.483333,24592.516667,24512.400000,26693.266667,25357.033333,25760.750000,26701.283333,26936.300000,25941.233333,25135.700000,27330.266667,27972.100000,28045.783333,27780.466667,27530.316667,25991.333333,24668.616667,27126.800000,26774.283333,27238.850000,27962.916667,27125.866667,26468.316667,26229.116667,28377.216667
02:00,24281.166667,23688.583333,24734.633333,25283.550000,25321.433333,25100.016667,25531.433333,23707.083333,23631.400000,25751.833333,24495.750000,24858.916667,25769.033333,25955.183333,24825.050000,24235.700000,26365.183333,26983.283333,26993.400000,26769.250000,26472.000000,24923.300000,23818.900000,26077.183333,25879.316667,26183.383333,26901.366667,26185.883333,25392.066667,25224.083333,27333.616667
03:00,23540.833333,22921.950000,24097.700000,24687.366667,24796.933333,24439.433333,24862.550000,22995.083333,23047.650000,25032.333333,23724.766667,24275.283333,24867.950000,25168.116667,24128.433333,23604.433333,25562.533333,26076.966667,26149.800000,26050.466667,25747.266667,24168.766667,23184.150000,25376.283333,25182.000000,25571.833333,26107.333333,25310.683333,24580.266667,24413.483333,26385.516667
04:00,23050.733333,22543.916667,23758.950000,24288.816667,24346.633333,24061.616667,24291.916667,22636.800000,22662.233333,24452.483333,23157.400000,23864.283333,24547.100000,24524.933333,23630.683333,23109.966667,25144.300000,25519.716667,25602.150000,25493.533333,25085.550000,23581.450000,22815.966667,24896.150000,24674.966667,25007.066667,25547.416667,24749.616667,24022.400000,24063.833333,25789.100000
05:00,22561.433333,22261.783333,23460.400000,24019.950000,24123.116667,23747.266667,23834.083333,22085.483333,22383.583333,24069.150000,22883.166667,23607.533333,24268.433333,23893.883333,23140.183333,22915.916667,24737.250000,25057.716667,25072.400000,25073.316667,24581.883333,23102.950000,22690.416667,24558.050000,24342.900000,24711.350000,25168.433333,24193.250000,23524.683333,23645.450000,25292.450000
06:00,22478.777500,22813.794667,23912.280500,24273.058500,24480.446000,24150.205333,23749.213167,22122.158833,22944.395500,24323.180333,22917.218333,23865.872500,24572.210000,23995.708833,22925.804333,23355.802833,24893.370833,25253.547500,25273.182167,25284.957500,24393.447167,22962.915000,23184.278667,24730.268333,24593.859000,24962.076500,25401.807000,24205.456667,23274.001000,23969.410167,25399.890833
07:00,22987.188333,24483.509333,25440.400167,25722.936500,25840.934833,25641.509167,24473.614000,22699.534667,24793.682167,25727.713333,23862.548667,25436.283333,26036.890500,24539.244500,23317.305167,25009.083667,26521.836167,26677.943000,26918.109500,26488.587667,24944.891167,23409.573667,24892.600667,26317.841333,26095.893500,26436.956333,26816.604333,24836.272167,23793.365667,25653.615667,26927.933500
08:00,23798.945167,29632.441833,29831.717333,29897.722000,29924.895167,29768.924667,26380.985667,23546.502333,29719.226667,30045.938333,27107.408500,30024.798000,30496.289167,26559.124167,24058.339333,29795.149667,31022.260500,31312.051333,31360.911833,30934.522000,26709.134833,24366.151500,29853.865667,30977.976667,30598.030500,30834.116833,31227.592333,26648.837667,24597.855333,30614.184167,31531.865167
09:00,24824.770500,31577.147500,31888.964500,31970.421833,31850.495333,31783.997667,27717.145333,24542.186333,32069.551500,32195.602833,28652.913667,32369.967333,32616.561500,27898.545333,25129.716333,32260.520500,33485.755333,33513.791167,33740.207833,33085.610500,28118.042500,25459.857833,32158.450667,33322.687000,32915.182500,33031.482333,33331.110500,28145.852333,25379.437333,33266.040333,33911.987333
