,7/1/2022,7/2/2022,7/3/2022,7/4/2022,7/5/2022,7/6/2022,7/7/2022,7/8/2022,7/9/2022,7/10/2022,7/11/2022,7/12/2022,7/13/2022,7/14/2022,7/15/2022,7/16/2022,7/17/2022,7/18/2022,7/19/2022,7/20/2022,7/21/2022,7/22/2022,7/23/2022,7/24/2022,7/25/2022,7/26/2022,7/27/2022,7/28/2022,7/29/2022,7/30/2022,7/31/2022
00:00,30431.750000,30041.666667,28018.633333,27860.433333,29177.600000,29172.233333,30044.400000,30285.583333,30881.133333,30368.883333,29868.383333,31671.616667,31948.233333,31788.450000,31811.250000,30817.350000,30287.183333,29716.583333,31738.583333,31525.683333,31180.283333,32501.266667,32735.233333,31514.333333,30913.883333,32582.533333,31959.833333,31939.566667,31926.950000,31444.333333,29624.850000
01:00,29225.616667,28925.450000,26996.750000,26807.283333,28127.516667,28067.716667,28887.850000,29185.183333,29591.216667,29193.766667,28685.650000,30450.883333,30731.483333,30535.366667,30619.516667,29554.533333,29125.716667,28388.366667,30456.666667,30300.666667,29932.266667,31149.533333,31466.066667,30209.350000,29553.083333,31208.966667,30667.133333,30619.266667,30727.700000,30065.650000,28363.566667
02:00,28246.083333,27906.916667,26286.650000,25976.766667,27256.650000,27222.283333,27921.233333,28185.500000,28558.966667,28248.683333,27584.633333,29394.250000,29621.300000,29607.450000,29600.666667,28498.133333,28027.166667,27413.400000,29366.633333,29268.150000,28937.033333,30102.000000,30479.816667,29136.716667,28613.283333,30124.816667,29733.950000,29566.066667,29615.000000,29137.883333,27549.700000
03:00,27541.033333,27238.433333,25540.900000,25396.550000,26574.666667,26548.600000,27269.850000,27364.000000,27687.483333,27303.283333,26858.416667,28620.483333,28836.166667,28807.083333,28815.916667,27834.533333,27262.733333,26734.666667,28570.966667,28517.700000,28116.900000,29278.400000,29527.650000,28249.000000,27870.766667,29249.550000,28928.916667,28796.450000,28865.133333,28226.600000,26734.333333
04:00,26994.866667,26850.033333,25152.983333,24942.533333,26172.883333,26184.350000,26772.400000,26900.083333,27093.100000,26736.083333,26273.183333,28178.016667,28164.900000,28308.250000,28202.483333,27240.333333,26704.000000,26209.366667,28132.333333,27746.766667,27619.450000,28613.483333,28771.750000,27581.650000,27339.533333,28603.050000,28410.166667,28273.533333,28220.200000,27675.983333,26199.700000
05:00,26618.103500,26252.219167,24743.401500,24729.794000,25894.505833,25795.788833,26435.044000,26515.406333,26519.833167,26002.001000,25858.139500,27580.853333,27806.849667,27796.820667,27577.689833,26671.471667,26025.355000,25927.528667,27612.899000,27371.659167,27085.096000,28099.246167,28040.909500,26988.282167,26981.685000,28052.680667,28040.972500,27755.103000,27786.131167,27110.925833,25652.349167
06:00,26850.897500,26222.966500,24633.133833,25151.244667,26288.261667,26285.243167,26747.369667,26923.300333,26424.045500,25915.511167,26254.208167,27748.496500,28010.271833,27993.942000,27682.390833,26656.852333,25846.750167,26186.985500,27707.269500,27702.835500,27227.909000,28231.402500,27815.609167,26590.529833,27176.783833,28116.600500,28013.989667,27905.530000,27842.106000,26909.647667,25539.560500
07:00,28489.342667,26645.964833,24990.745333,27142.190333,28058.824500,27938.566667,28326.207667,28634.722333,26960.385500,26218.711000,28103.008000,29280.249333,29480.789667,29445.292333,29054.793000,27057.096167,26293.145667,28058.449000,29278.576333,29407.682667,28903.404167,29835.732500,28364.435667,26878.868667,28834.428500,29630.588333,29536.599833,29446.468833,29498.689000,27517.537000,25953.936333
08:00,32959.162667,28293.286333,25911.847667,32139.647833,32500.846167,32186.131500,32980.933167,33160.515333,28903.794333,27197.461333,33366.275000,33639.730167,33977.356167,34063.034167,33246.273167,29021.201000,27196.382167,33049.814500,33967.851167,34045.557833,33706.850667,34596.039333,30260.837167,27946.823000,33959.576333,34294.255500,34242.568833,34306.648667,33973.757500,29361.756833,26961.969000
09:00,35389.740500,29750.028167,26820.022167,34888.733500,34933.733667,34570.753333,35350.869833,35576.534333,30735.649500,28606.180333,35964.574167,36187.505000,36264.902333,36356.966500,35539.288833,30700.044333,28388.081000,35815.958167,36399.250667,36593.958500,36275.516833,36906.528333,32014.614167,29129.478333,36681.701833,36739.966333,36308.061833,36693.135500,36285.741833,31119.973667,28285.356833
