valid_time_tw,t2m_c,ssrd_wm2
1995-07-01 00:00:00,22.34565650000002,0.0
1995-07-01 01:00:00,22.220791899999995,0.0
1995-07-01 02:00:00,22.136148700000035,0.0
1995-07-01 03:00:00,22.02382140000003,0.0
1995-07-01 04:00:00,21.749706500000002,0.0
1995-07-01 05:00:00,21.573995200000013,0.0
1995-07-01 06:00:00,21.730922899999996,24.707744444444156
1995-07-01 07:00:00,23.430728200000033,160.07665000000037
1995-07-01 08:00:00,24.65513070000003,352.49046388888837
1995-07-01 09:00:00,25.56715280000003,554.3627394444444
1995-07-01 10:00:00,26.089686200000017,704.3610452777779
1995-07-01 11:00:00,26.62570420000003,787.9391491666667
1995-07-01 12:00:00,26.59800740000003,791.2702938888887
1995-07-01 13:00:00,26.93339640000005,823.4841277777781
1995-07-01 14:00:00,26.0743023,649.6483750000001
1995-07-01 15:00:00,25.427416600000015,496.9837833333331
1995-07-01 16:00:00,24.92616270000002,376.3827083333333
1995-07-01 17:00:00,24.2361846,196.82022499999962
1995-07-01 18:00:00,23.861963000000003,81.53767777777794
1995-07-01 19:00:00,23.479147400000045,17.70865833333383
1995-07-01 20:00:00,23.144092700000044,0.0
1995-07-01 21:00:00,22.88019250000002,0.0
1995-07-01 22:00:00,22.523008800000014,1.9444444527228672e-05
1995-07-01 23:00:00,22.230892600000004,0.0
1995-07-02 00:00:00,22.288880900000038,0.0
1995-07-02 01:00:00,22.225328700000034,0.0
1995-07-02 02:00:00,22.08465750000005,0.0
1995-07-02 03:00:00,22.11515460000004,0.0
1995-07-02 04:00:00,21.94830760000002,0.0
1995-07-02 05:00:00,21.771203400000047,0.0
1995-07-02 06:00:00,21.94954580000001,22.465819444444236
1995-07-02 07:00:00,23.183029800000043,142.71415277777757
1995-07-02 08:00:00,24.14586440000005,305.7717805555556
1995-07-02 09:00:00,25.223254300000008,504.44364527777776
1995-07-02 10:00:00,25.4490366,568.8670366666668
1995-07-02 11:00:00,25.54538130000003,662.1457994444444
1995-07-02 12:00:00,25.326107700000023,577.5906080555557
1995-07-02 13:00:00,25.49234100000001,588.843832777778
1995-07-02 14:00:00,25.221856800000012,463.3929333333335
1995-07-02 15:00:00,24.88102090000001,393.37497777777776
1995-07-02 16:00:00,24.58139030000001,275.48636666666664
1995-07-02 17:00:00,24.2373427,163.66819999999987
1995-07-02 18:00:00,23.948053900000048,86.96869722222236
1995-07-02 19:00:00,23.495055500000035,15.531230555555473
1995-07-02 20:00:00,23.074814300000014,0.0
1995-07-02 21:00:00,22.66262710000001,0.0
1995-07-02 22:00:00,22.468286800000044,0.0
1995-07-02 23:00:00,22.3029047,0.0
1995-07-03 00:00:00,22.160202800000036,0.0
1995-07-03 01:00:00,22.120743800000014,0.0
1995-07-03 02:00:00,22.026408500000002,0.0
1995-07-03 03:00:00,21.88835370000004,0.0
1995-07-03 04:00:00,21.756392000000005,0.0
1995-07-03 05:00:00,21.71137570000002,0.0
1995-07-03 06:00:00,21.91562250000004,19.1721861111114
1995-07-03 07:00:00,23.431700300000045,129.0038166666662
1995-07-03 08:00:00,24.27127260000003,296.0607277777781
1995-07-03 09:00:00,25.32386760000003,492.77856694444444
1995-07-03 10:00:00,25.758306300000015,580.1857419444444
1995-07-03 11:00:00,26.340933300000017,702.6829597222223
1995-07-03 12:00:00,26.153301,628.9213975000001
1995-07-03 13:00:00,26.53025690000004,700.798053333333
1995-07-03 14:00:00,26.080951200000015,602.4432055555558
1995-07-03 15:00:00,25.482294300000035,467.9002472222219
1995-07-03 16:00:00,25.23534490000003,328.1007305555558
1995-07-03 17:00:00,25.013749399999995,213.8400138888891
1995-07-03 18:00:00,24.382922800000017,100.11867222222189
1995-07-03 19:00:00,23.685950100000014,18.13111111111111
1995-07-03 20:00:00,23.094474700000035,0.0
1995-07-03 21:00:00,22.76145820000005,0.0
1995-07-03 22:00:00,22.56343700000002,0.0
1995-07-03 23:00:00,22.264397599999995,0.0
1995-07-04 00:00:00,22.047482400000035,0.0
1995-07-04 01:00:00,21.86501320000002,0.0
1995-07-04 02:00:00,21.700758000000008,0.0
1995-07-04 03:00:00,21.614151500000048,0.0
1995-07-04 04:00:00,21.349219900000037,0.0
1995-07-04 05:00:00,21.126333799999998,0.0
1995-07-04 06:00:00,21.37600850000001,23.60100833333408
1995-07-04 07:00:00,23.498938199999998,159.23243611111099
1995-07-04 08:00:00,24.943399700000043,353.52578333333344
1995-07-04 09:00:00,25.9875591,545.4309116666666
1995-07-04 10:00:00,26.737246800000037,699.8811858333335
1995-07-04 11:00:00,27.122189500000047,839.5001366666665
1995-07-04 12:00:00,26.924616500000013,791.9855352777781
1995-07-04 13:00:00,26.613834300000008,704.9594027777777
1995-07-04 14:00:00,26.12907670000004,590.029847222222
1995-07-04 15:00:00,25.616947900000014,466.79943888888903
1995-07-04 16:00:00,25.590119800000025,388.14927500000016
1995-07-04 17:00:00,24.73588410000002,204.93820277777812
1995-07-04 18:00:00,24.05584710000005,99.81834166666596
1995-07-04 19:00:00,23.52495490000001,18.9590638888886
1995-07-04 20:00:00,23.130222300000014,0.0
1995-07-04 21:00:00,22.774202400000036,0.0
1995-07-04 22:00:00,22.284479800000042,1.388888909584946e-05
1995-07-04 23:00:00,21.919646100000023,0.0
1995-07-05 00:00:00,21.615769400000033,0.0
1995-07-05 01:00:00,21.472625100000016,0.0
1995-07-05 02:00:00,21.270994900000005,0.0
1995-07-05 03:00:00,21.586936700000024,0.0
1995-07-05 04:00:00,21.387700100000018,0.0
1995-07-05 05:00:00,21.1171382,0.0
1995-07-05 06:00:00,21.22655900000001,23.805194444444236
1995-07-05 07:00:00,23.35183550000005,169.08577222222254
1995-07-05 08:00:00,24.592236500000013,359.65117500000014
1995-07-05 09:00:00,25.61876860000001,558.007045
1995-07-05 10:00:00,26.381261600000016,705.0838872222222
1995-07-05 11:00:00,26.721609600000022,854.7503838888889
1995-07-05 12:00:00,26.4780806,761.9361949999998
1995-07-05 13:00:00,26.2115235,718.021913888889
1995-07-05 14:00:00,26.004058299999997,642.9026111111112
1995-07-05 15:00:00,25.418700400000034,490.59933055555604
1995-07-05 16:00:00,25.653596600000014,450.77684444444355
1995-07-05 17:00:00,25.08736270000003,268.0972944444449
1995-07-05 18:00:00,24.3805112,138.6192194444448
1995-07-05 19:00:00,23.601124000000027,20.594958333332713
1995-07-05 20:00:00,23.13283770000004,0.0
1995-07-05 21:00:00,22.805319499999996,0.0
1995-07-05 22:00:00,22.680973300000005,0.0
1995-07-05 23:00:00,22.345506,0.0
1995-07-06 00:00:00,22.057784800000036,0.0
1995-07-06 01:00:00,21.751881700000013,0.0
1995-07-06 02:00:00,21.45660780000003,0.0
1995-07-06 03:00:00,21.547587600000043,0.0
1995-07-06 04:00:00,21.146293800000024,0.0
1995-07-06 05:00:00,20.926731800000027,0.0
1995-07-06 06:00:00,21.03230940000003,23.039180555555763
1995-07-06 07:00:00,22.99811440000002,170.694158333333
1995-07-06 08:00:00,24.324609199999998,356.6004388888894
1995-07-06 09:00:00,25.5896616,584.8301011111112
1995-07-06 10:00:00,26.428013100000044,753.2989155555555
1995-07-06 11:00:00,26.78728860000001,875.3440713888888
1995-07-06 12:00:00,26.894171500000027,839.3462897222223
1995-07-06 13:00:00,26.58921570000001,807.5988249999999
1995-07-06 14:00:00,26.325972400000012,717.9627888888891
1995-07-06 15:00:00,26.50504060000003,664.4387416666664
1995-07-06 16:00:00,26.124947100000043,495.2268305555555
1995-07-06 17:00:00,25.658769000000007,330.0255722222229
1995-07-06 18:00:00,24.829862700000035,158.39326944444431
1995-07-06 19:00:00,23.92742860000004,25.069738888888516
1995-07-06 20:00:00,23.21009250000003,0.0
1995-07-06 21:00:00,22.681802100000027,0.0
1995-07-06 22:00:00,22.33439390000001,0.0
1995-07-06 23:00:00,22.02999150000005,0.0
1995-07-07 00:00:00,21.587741100000017,0.0
1995-07-07 01:00:00,21.32111950000001,0.0
1995-07-07 02:00:00,21.06074460000002,0.0
1995-07-07 03:00:00,20.74850140000001,0.0
1995-07-07 04:00:00,20.630255800000043,0.0
1995-07-07 05:00:00,20.446019800000045,0.0
1995-07-07 06:00:00,20.78158350000001,25.550541666667495
1995-07-07 07:00:00,23.01298920000005,179.8044555555553
1995-07-07 08:00:00,24.36442550000004,375.5172611111113
1995-07-07 09:00:00,25.2184714,570.4453230555555
1995-07-07 10:00:00,25.899913400000003,712.5122111111111
1995-07-07 11:00:00,26.492065000000025,845.8820594444444
1995-07-07 12:00:00,26.759351400000014,868.7360452777781
1995-07-07 13:00:00,26.602598200000045,811.9159888888885
1995-07-07 14:00:00,26.550095700000043,788.3656416666668
1995-07-07 15:00:00,26.236547700000017,671.3732472222221
1995-07-07 16:00:00,25.638649799999996,483.0002916666669
1995-07-07 17:00:00,25.00735020000002,306.6484333333332
1995-07-07 18:00:00,24.411417500000027,143.61797777777744
1995-07-07 19:00:00,23.734037,24.450152777777983
1995-07-07 20:00:00,23.068925300000046,0.0
1995-07-07 21:00:00,22.628932100000043,0.0
1995-07-07 22:00:00,22.263534900000025,0.0
1995-07-07 23:00:00,21.94042280000002,0.0
1995-07-08 00:00:00,21.524446100000034,0.0
1995-07-08 01:00:00,21.25640020000003,0.0
1995-07-08 02:00:00,21.1641573,0.0
1995-07-08 03:00:00,21.074500200000045,0.0
1995-07-08 04:00:00,20.931180900000015,0.0
1995-07-08 05:00:00,20.774486100000047,0.0
1995-07-08 06:00:00,21.00548170000002,22.639827777777487
1995-07-08 07:00:00,22.8527191,150.93835277777785
1995-07-08 08:00:00,24.04670100000004,309.48481666666663
1995-07-08 09:00:00,24.942288500000018,475.0667233333333
1995-07-08 10:00:00,25.669628400000022,616.4729830555556
1995-07-08 11:00:00,26.412816100000043,738.6579058333334
1995-07-08 12:00:00,26.39033440000003,701.7784233333333
1995-07-08 13:00:00,26.30295000000001,720.6402338888889
1995-07-08 14:00:00,25.974940300000014,643.1344888888889
1995-07-08 15:00:00,25.51899560000004,511.59587777777784
1995-07-08 16:00:00,24.95900450000005,356.81155555555495
1995-07-08 17:00:00,24.27107000000001,214.0870888888898
1995-07-08 18:00:00,23.779672300000016,103.90783888888856
1995-07-08 19:00:00,23.238825700000007,16.427044444444277
1995-07-08 20:00:00,22.856603600000028,0.0
1995-07-08 21:00:00,22.593034500000044,3.611111082136631e-05
1995-07-08 22:00:00,22.384532200000024,0.0
1995-07-08 23:00:00,22.203482500000007,0.0
1995-07-09 00:00:00,22.002292699999998,0.0
1995-07-09 01:00:00,21.903321900000037,0.0
1995-07-09 02:00:00,21.775350600000024,0.0
1995-07-09 03:00:00,21.828889500000002,0.0
1995-07-09 04:00:00,21.83857420000004,0.0
1995-07-09 05:00:00,21.442893500000025,0.0
1995-07-09 06:00:00,21.49709580000001,19.842688888888805
1995-07-09 07:00:00,22.963495300000034,142.00901666666692
1995-07-09 08:00:00,23.72168400000004,281.0985666666666
1995-07-09 09:00:00,24.410974900000042,394.89949527777776
1995-07-09 10:00:00,25.03898860000004,489.75635694444446
1995-07-09 11:00:00,25.265104500000007,666.2736497222223
1995-07-09 12:00:00,24.61754570000005,558.8347513888888
1995-07-09 13:00:00,24.111049800000046,403.0722119444446
1995-07-09 14:00:00,23.837832700000035,332.90899027777783
1995-07-09 15:00:00,23.809165500000006,333.6271777777777
1995-07-09 16:00:00,23.651356399999997,244.4855027777774
1995-07-09 17:00:00,23.453281000000004,150.49448888888892
1995-07-09 18:00:00,23.09350790000002,77.37293055555577
1995-07-09 19:00:00,22.59087340000002,14.536694444444342
1995-07-09 20:00:00,22.30302770000003,0.0
1995-07-09 21:00:00,22.145365000000027,1.1111111380159855e-05
1995-07-09 22:00:00,21.994618400000036,0.0
1995-07-09 23:00:00,21.976028299999996,0.0
1995-07-10 00:00:00,21.685179500000004,0.0
1995-07-10 01:00:00,21.390717600000016,0.0
1995-07-10 02:00:00,21.127288899999996,0.0
1995-07-10 03:00:00,21.038022300000023,0.0
1995-07-10 04:00:00,20.888001900000006,0.0
1995-07-10 05:00:00,20.75433030000005,0.0
1995-07-10 06:00:00,20.917355900000018,17.43498888888862
1995-07-10 07:00:00,22.18327320000003,107.97793611111119
1995-07-10 08:00:00,22.742183100000034,228.2685916666666
1995-07-10 09:00:00,23.388742300000047,280.8879952777778
1995-07-10 10:00:00,23.929416900000035,375.72347388888886
1995-07-10 11:00:00,24.06350980000002,439.26016833333335
1995-07-10 12:00:00,23.95341570000005,451.2124786111111
1995-07-10 13:00:00,23.633538200000032,374.56734222222224
1995-07-10 14:00:00,23.5238248,360.19015694444454
1995-07-10 15:00:00,23.45496000000003,303.8405075000001
1995-07-10 16:00:00,23.322972200000038,188.6083469444441
1995-07-10 17:00:00,23.108849600000042,136.45059416666678
1995-07-10 18:00:00,22.67782950000003,67.73976388888899
1995-07-10 19:00:00,22.222516600000006,13.638255555555224
1995-07-10 20:00:00,21.950616100000047,0.0
1995-07-10 21:00:00,21.759631500000012,0.0
1995-07-10 22:00:00,21.62103540000004,0.0
1995-07-10 23:00:00,21.449702900000034,0.0
1995-07-11 00:00:00,21.375499100000013,0.0
1995-07-11 01:00:00,21.23096510000005,0.0
1995-07-11 02:00:00,21.13702790000002,0.0
1995-07-11 03:00:00,20.967636200000015,0.0
1995-07-11 04:00:00,20.771497400000044,0.0
1995-07-11 05:00:00,20.761542899999995,0.0
1995-07-11 06:00:00,20.958184300000028,12.777119444444155
1995-07-11 07:00:00,21.860817800000007,85.10157499999998
1995-07-11 08:00:00,22.213019099999997,136.9093416666669
1995-07-11 09:00:00,22.847553600000026,219.17741991666665
1995-07-11 10:00:00,23.245526299999995,280.31768675
1995-07-11 11:00:00,23.5148375,342.6597244444444
1995-07-11 12:00:00,23.538706200000036,338.43191277777777
1995-07-11 13:00:00,23.520023200000026,311.642958611111
1995-07-11 14:00:00,23.536147200000016,308.31784194444464
1995-07-11 15:00:00,23.118843400000003,219.09932277777776
1995-07-11 16:00:00,22.6978785,121.45634777777776
1995-07-11 17:00:00,22.65024440000002,107.94829388888888
1995-07-11 18:00:00,22.382699900000034,63.43831972222232
1995-07-11 19:00:00,21.97760150000005,12.391038888888692
1995-07-11 20:00:00,21.752292100000034,0.0
1995-07-11 21:00:00,21.536640300000045,0.0
1995-07-11 22:00:00,21.356845399999997,0.0
1995-07-11 23:00:00,21.126981600000022,0.0
1995-07-12 00:00:00,21.018842500000005,0.0
1995-07-12 01:00:00,20.786547400000018,0.0
1995-07-12 02:00:00,20.609976300000028,0.0
1995-07-12 03:00:00,20.624074300000018,0.0
1995-07-12 04:00:00,20.628622199999995,0.0
1995-07-12 05:00:00,20.6400357,0.0
1995-07-12 06:00:00,20.770756800000015,11.007337222222446
1995-07-12 07:00:00,21.550667599999997,72.36071333333332
1995-07-12 08:00:00,22.09433610000002,141.81337611111087
1995-07-12 09:00:00,22.567821800000047,211.37842169444446
1995-07-12 10:00:00,22.830692,241.4131291388889
1995-07-12 11:00:00,22.90428920000005,230.69394805555555
1995-07-12 12:00:00,22.853653500000007,257.7003275
1995-07-12 13:00:00,22.970262000000048,285.7076002777778
1995-07-12 14:00:00,22.949458800000002,252.50539694444433
1995-07-12 15:00:00,23.034810800000002,260.50333527777786
1995-07-12 16:00:00,22.773858500000017,191.56879611111117
1995-07-12 17:00:00,22.527933399999995,138.52816527777765
1995-07-12 18:00:00,22.161481200000026,64.43703194444456
1995-07-12 19:00:00,21.78504730000003,13.958930000000013
1995-07-12 20:00:00,21.49027570000004,0.0
1995-07-12 21:00:00,21.243865200000016,0.0
1995-07-12 22:00:00,21.193469900000025,1.027777765153183e-05
1995-07-12 23:00:00,21.0296606,0.0
