taipei_time,averaged_t2m,averaged_ssrd_w_m2
2020-07-01 00:00:00,296.4232,0.0
2020-07-01 01:00:00,296.1948,0.0
2020-07-01 02:00:00,296.11966,0.0
2020-07-01 03:00:00,295.8583,0.0
2020-07-01 04:00:00,295.7445,0.0
2020-07-01 05:00:00,295.55338,0.0
2020-07-01 06:00:00,295.88843,23.50389
2020-07-01 07:00:00,297.8207,157.3811
2020-07-01 08:00:00,299.1586,334.2911
2020-07-01 09:00:00,300.19107,538.5825
2020-07-01 10:00:00,300.74274,657.0096
2020-07-01 11:00:00,300.74924,732.0621
2020-07-01 12:00:00,300.59473,740.8711
2020-07-01 13:00:00,299.6817,677.5903
2020-07-01 14:00:00,298.95993,437.00528
2020-07-01 15:00:00,298.70947,394.68668
2020-07-01 16:00:00,298.38333,249.61472
2020-07-01 17:00:00,298.1078,150.42528
2020-07-01 18:00:00,297.7744,72.84417
2020-07-01 19:00:00,297.32166,14.97
2020-07-01 20:00:00,296.9076,0.0
2020-07-01 21:00:00,296.68387,0.0
2020-07-01 22:00:00,296.4765,0.0
2020-07-01 23:00:00,296.24777,0.0
2020-07-02 00:00:00,295.92953,0.0
2020-07-02 01:00:00,295.73645,0.0
2020-07-02 02:00:00,295.67245,0.0
2020-07-02 03:00:00,295.83768,0.0
2020-07-02 04:00:00,295.79526,0.0
2020-07-02 05:00:00,295.6074,0.0
2020-07-02 06:00:00,295.8491,22.519444
2020-07-02 07:00:00,297.4305,137.3189
2020-07-02 08:00:00,298.49512,294.4761
2020-07-02 09:00:00,299.56958,500.9932
2020-07-02 10:00:00,300.24005,627.47754
2020-07-02 11:00:00,300.47766,703.5889
2020-07-02 12:00:00,300.35782,721.6603
2020-07-02 13:00:00,299.7093,597.395
2020-07-02 14:00:00,298.94986,445.03195
2020-07-02 15:00:00,298.5382,325.14362
2020-07-02 16:00:00,298.35504,290.16666
2020-07-02 17:00:00,298.07336,179.5175
2020-07-02 18:00:00,297.69604,88.187775
2020-07-02 19:00:00,297.2511,15.555
2020-07-02 20:00:00,296.90067,0.0
2020-07-02 21:00:00,296.4819,0.0
2020-07-02 22:00:00,296.2367,0.0
2020-07-02 23:00:00,295.97485,0.0
2020-07-03 00:00:00,295.77832,0.0
2020-07-03 01:00:00,295.59897,0.0
2020-07-03 02:00:00,295.51987,0.0
2020-07-03 03:00:00,295.36163,0.0
2020-07-03 04:00:00,295.2703,0.0
2020-07-03 05:00:00,295.13406,0.0
2020-07-03 06:00:00,295.3041,18.996944
2020-07-03 07:00:00,296.92172,136.68279
2020-07-03 08:00:00,298.38113,332.19388
2020-07-03 09:00:00,299.53772,537.37445
2020-07-03 10:00:00,300.47156,694.66876
2020-07-03 11:00:00,300.599,687.4814
2020-07-03 12:00:00,300.64563,708.3432
2020-07-03 13:00:00,300.24362,585.69336
2020-07-03 14:00:00,300.02454,574.57
2020-07-03 15:00:00,299.5381,453.77444
2020-07-03 16:00:00,299.29544,373.41446
2020-07-03 17:00:00,298.59973,206.54944
2020-07-03 18:00:00,298.23688,102.712776
2020-07-03 19:00:00,297.7318,17.233334
2020-07-03 20:00:00,297.32895,0.0
2020-07-03 21:00:00,296.98813,0.0
2020-07-03 22:00:00,296.70865,0.0
2020-07-03 23:00:00,296.38858,0.0
2020-07-04 00:00:00,296.05682,0.0
2020-07-04 01:00:00,295.80908,0.0
2020-07-04 02:00:00,295.56854,0.0
2020-07-04 03:00:00,295.81265,0.0
2020-07-04 04:00:00,295.60712,0.0
2020-07-04 05:00:00,295.29105,0.0
2020-07-04 06:00:00,295.3978,20.517221
2020-07-04 07:00:00,297.26822,152.66777
2020-07-04 08:00:00,298.68732,342.00278
2020-07-04 09:00:00,299.81134,565.5324
2020-07-04 10:00:00,300.6313,712.52515
2020-07-04 11:00:00,301.18338,851.8921
2020-07-04 12:00:00,300.87665,727.42017
2020-07-04 13:00:00,300.7793,720.9739
2020-07-04 14:00:00,300.55707,664.62555
2020-07-04 15:00:00,300.21295,575.55804
2020-07-04 16:00:00,299.88574,380.17444
2020-07-04 17:00:00,299.50708,271.40222
2020-07-04 18:00:00,298.89777,128.37111
2020-07-04 19:00:00,298.18768,23.192223
2020-07-04 20:00:00,297.5373,0.0
2020-07-04 21:00:00,297.12473,0.0
2020-07-04 22:00:00,296.78412,0.0
2020-07-04 23:00:00,296.51212,0.0
2020-07-05 00:00:00,296.33908,0.0
2020-07-05 01:00:00,296.1101,0.0
2020-07-05 02:00:00,296.01093,0.0
2020-07-05 03:00:00,295.842,0.0
2020-07-05 04:00:00,295.71805,0.0
2020-07-05 05:00:00,295.62482,0.0
2020-07-05 06:00:00,295.7715,20.220556
2020-07-05 07:00:00,297.25775,144.73056
2020-07-05 08:00:00,298.48053,334.30612
2020-07-05 09:00:00,299.63638,517.5087
2020-07-05 10:00:00,300.5133,712.39044
2020-07-05 11:00:00,300.92514,805.62054
2020-07-05 12:00:00,301.14508,866.24445
2020-07-05 13:00:00,300.99536,819.62335
2020-07-05 14:00:00,300.75174,708.207
2020-07-05 15:00:00,300.2244,546.49335
2020-07-05 16:00:00,299.85068,412.3889
2020-07-05 17:00:00,299.3385,265.5189
2020-07-05 18:00:00,298.70547,118.511665
2020-07-05 19:00:00,298.0791,20.104445
2020-07-05 20:00:00,297.3969,0.0
2020-07-05 21:00:00,296.94476,0.0
2020-07-05 22:00:00,296.57156,0.0
2020-07-05 23:00:00,296.26028,0.0
2020-07-06 00:00:00,295.99484,0.0
2020-07-06 01:00:00,295.68512,0.0
2020-07-06 02:00:00,295.3496,0.0
2020-07-06 03:00:00,295.36273,0.0
2020-07-06 04:00:00,295.19492,0.0
2020-07-06 05:00:00,294.83566,0.0
2020-07-06 06:00:00,295.1017,24.22
2020-07-06 07:00:00,297.23953,163.12889
2020-07-06 08:00:00,298.5481,361.59332
2020-07-06 09:00:00,299.77408,550.2184
2020-07-06 10:00:00,300.2362,647.60016
2020-07-06 11:00:00,300.51587,711.09344
2020-07-06 12:00:00,300.91812,776.647
2020-07-06 13:00:00,300.81766,734.3408
2020-07-06 14:00:00,300.68533,637.5036
2020-07-06 15:00:00,300.75583,565.8689
2020-07-06 16:00:00,300.10498,405.82944
2020-07-06 17:00:00,299.63373,258.84055
2020-07-06 18:00:00,298.80634,114.48556
2020-07-06 19:00:00,298.1532,20.02111
2020-07-06 20:00:00,297.64917,0.0
2020-07-06 21:00:00,297.2754,0.0
2020-07-06 22:00:00,296.93494,0.0
